date_time,value
2018-02-12 1,0.0
2018-02-12 2,0.0
2018-02-12 3,0.0
2018-02-12 4,0.0
2018-02-12 5,0.0
2018-02-12 6,43.0
2018-02-12 7,109.5
2018-02-12 8,102.0
2018-02-12 9,100.5
2018-02-12 10,100.5
2018-02-12 11,96.5
2018-02-12 12,97.5
2018-02-12 13,100.5
2018-02-12 14,102.5
2018-02-12 15,103.5
2018-02-12 16,99.5
2018-02-12 17,103.5
2018-02-12 18,96.5
2018-02-12 19,92.0
2018-02-12 20,80.0
2018-02-12 21,40.0
2018-02-12 22,0.0
2018-02-12 23,0.0
2018-02-13 0,0.0
2018-02-13 1,0.0
2018-02-13 2,0.0
2018-02-13 3,0.0
2018-02-13 4,0.0
2018-02-13 5,0.0
2018-02-13 6,40.0
2018-02-13 7,97.5
2018-02-13 8,96.5
2018-02-13 9,86.0
2018-02-13 10,94.5
2018-02-13 11,92.0
2018-02-13 12,97.5
2018-02-13 13,93.5
2018-02-13 14,91.5
2018-02-13 15,95.0
2018-02-13 16,97.5
2018-02-13 17,93.5
2018-02-13 18,86.0
2018-02-13 19,80.0
2018-02-13 20,77.0
2018-02-13 21,40.0
2018-02-13 22,0.0
2018-02-13 23,0.0
2018-02-14 0,0.0
2018-02-14 1,0.0
2018-02-14 2,0.0
2018-02-14 3,0.0
2018-02-14 4,0.0
2018-02-14 5,0.0
2018-02-14 6,40.0
2018-02-14 7,106.5
2018-02-14 8,86.0
2018-02-14 9,86.0
2018-02-14 10,96.5
2018-02-14 11,97.5
2018-02-14 12,97.0
2018-02-14 13,94.5
2018-02-14 14,100.5
2018-02-14 15,102.5
2018-02-14 16,97.5
2018-02-14 17,83.0
2018-02-14 18,80.0
