date_time,value
2018-01-27 2,20.0
2018-01-27 3,19.0
2018-01-27 4,12.0
2018-01-27 5,14.0
2018-01-27 6,11.0
2018-01-27 7,18.0
2018-01-27 8,34.0
2018-01-27 9,50.0
2018-01-27 10,44.0
2018-01-27 11,50.0
2018-01-27 12,46.0
2018-01-27 13,37.0
2018-01-27 14,42.0
2018-01-27 15,40.0
2018-01-27 16,36.0
2018-01-27 17,39.0
2018-01-27 18,40.0
2018-01-27 19,31.0
2018-01-27 20,21.0
2018-01-27 21,21.0
2018-01-27 22,22.0
2018-01-27 23,21.0
2018-01-28 0,14.0
2018-01-28 1,19.0
2018-01-28 2,14.0
2018-01-28 3,14.0
2018-01-28 4,13.0
2018-01-28 5,17.0
2018-01-28 6,16.0
2018-01-28 7,12.0
2018-01-28 8,22.0
2018-01-28 9,19.0
2018-01-28 10,25.0
2018-01-28 11,27.0
2018-01-28 12,32.0
2018-01-28 13,27.0
2018-01-28 14,24.0
2018-01-28 15,25.0
2018-01-28 16,23.0
2018-01-28 17,23.0
2018-01-28 18,27.0
2018-01-28 19,27.0
2018-01-28 20,25.0
2018-01-28 21,20.0
2018-01-28 22,18.0
2018-01-28 23,16.0
2018-01-29 0,10.0
2018-01-29 1,15.0
2018-01-29 2,10.0
2018-01-29 3,13.0
2018-01-29 4,13.0
2018-01-29 5,8.0
2018-01-29 6,13.0
2018-01-29 7,27.0
2018-01-29 8,67.0
2018-01-29 9,116.0
2018-01-29 10,114.0
2018-01-29 11,184.0
2018-01-29 12,164.0
2018-01-29 13,182.0
2018-01-29 14,179.0
2018-01-29 15,196.0
2018-01-29 16,213.0
2018-01-29 17,203.0
2018-01-29 18,185.0
2018-01-29 19,134.0
2018-01-29 20,95.0
2018-01-29 21,71.0
2018-01-29 22,42.0
2018-01-29 23,21.0
2018-01-30 0,14.0
2018-01-30 1,12.0
2018-01-30 2,16.0
2018-01-30 3,12.0
2018-01-30 4,10.0
2018-01-30 5,9.0
2018-01-30 6,12.0
2018-01-30 7,26.0
2018-01-30 8,58.0
2018-01-30 9,152.0
2018-01-30 10,172.0
2018-01-30 11,186.0
2018-01-30 12,203.0
2018-01-30 13,197.0
2018-01-30 14,217.0
2018-01-30 15,231.0
2018-01-30 16,223.0
2018-01-30 17,228.0
2018-01-30 18,172.0
2018-01-30 19,149.0
2018-01-30 20,120.0
2018-01-30 21,83.0
2018-01-30 22,22.0
2018-01-30 23,21.0
2018-01-31 0,12.0
2018-01-31 1,12.0
2018-01-31 2,12.0
2018-01-31 3,13.0
2018-01-31 4,12.0
2018-01-31 5,11.0
2018-01-31 6,19.0
2018-01-31 7,27.0
2018-01-31 8,72.0
2018-01-31 9,156.0
2018-01-31 10,195.0
2018-01-31 11,229.0
2018-01-31 12,197.0
2018-01-31 13,203.0
2018-01-31 14,231.0
2018-01-31 15,227.0
2018-01-31 16,222.0
2018-01-31 17,188.0
2018-01-31 18,171.0
2018-01-31 19,145.0
2018-01-31 20,134.0
2018-01-31 21,128.0
2018-01-31 22,36.0
2018-01-31 23,18.0
2018-02-01 0,15.0
2018-02-01 1,8.0
2018-02-01 2,9.0
2018-02-01 3,11.0
2018-02-01 4,10.0
2018-02-01 5,10.0
2018-02-01 6,12.0
2018-02-01 7,24.0
2018-02-01 8,65.0
2018-02-01 9,135.0
2018-02-01 10,143.0
2018-02-01 11,178.0
2018-02-01 12,147.0
2018-02-01 13,207.0
2018-02-01 14,250.0
2018-02-01 15,256.0
2018-02-01 16,216.0
2018-02-01 17,214.0
2018-02-01 18,175.0
2018-02-01 19,103.0
2018-02-01 20,74.0
2018-02-01 21,66.0
2018-02-01 22,48.0
2018-02-01 23,20.0
2018-02-02 0,15.0
2018-02-02 1,18.0
2018-02-02 2,17.0
2018-02-02 3,13.0
2018-02-02 4,14.0
2018-02-02 5,13.0
2018-02-02 6,13.0
2018-02-02 7,26.0
2018-02-02 8,65.0
2018-02-02 9,118.0
2018-02-02 10,145.0
2018-02-02 11,199.0
2018-02-02 12,168.0
2018-02-02 13,208.0
2018-02-02 14,202.0
2018-02-02 15,219.0
2018-02-02 16,170.0
2018-02-02 17,145.0
2018-02-02 18,163.0
2018-02-02 19,126.0
2018-02-02 20,82.0
2018-02-02 21,93.0
2018-02-02 22,47.0
2018-02-02 23,29.0
2018-02-03 0,15.0
2018-02-03 1,23.0
2018-02-03 2,12.0
2018-02-03 3,14.0
2018-02-03 4,12.0
2018-02-03 5,13.0
2018-02-03 6,14.0
2018-02-03 7,13.0
2018-02-03 8,34.0
2018-02-03 9,47.0
2018-02-03 10,45.0
2018-02-03 11,44.0
2018-02-03 12,49.0
2018-02-03 13,39.0
2018-02-03 14,38.0
2018-02-03 15,31.0
2018-02-03 16,33.0
2018-02-03 17,42.0
2018-02-03 18,46.0
2018-02-03 19,40.0
2018-02-03 20,35.0
2018-02-03 21,25.0
2018-02-03 22,23.0
2018-02-03 23,15.0
2018-02-04 0,15.0
2018-02-04 1,15.0
2018-02-04 2,12.0
2018-02-04 3,10.0
2018-02-04 4,9.0
2018-02-04 5,15.0
2018-02-04 6,11.0
2018-02-04 7,14.0
2018-02-04 8,13.0
2018-02-04 9,17.0
2018-02-04 10,27.0
2018-02-04 11,31.0
2018-02-04 12,32.0
2018-02-04 13,33.0
2018-02-04 14,42.0
2018-02-04 15,40.0
2018-02-04 16,32.0
2018-02-04 17,31.0
2018-02-04 18,32.0
2018-02-04 19,25.0
2018-02-04 20,26.0
2018-02-04 21,18.0
2018-02-04 22,24.0
2018-02-04 23,16.0
2018-02-05 0,10.0
2018-02-05 1,12.0
2018-02-05 2,9.0
2018-02-05 3,10.0
2018-02-05 4,9.0
2018-02-05 5,12.0
2018-02-05 6,13.0
2018-02-05 7,36.0
2018-02-05 8,63.0
2018-02-05 9,117.0
2018-02-05 10,122.0
2018-02-05 11,166.0
2018-02-05 12,160.0
2018-02-05 13,218.0
2018-02-05 14,207.0
2018-02-05 15,244.0
2018-02-05 16,204.0
2018-02-05 17,220.0
2018-02-05 18,164.0
2018-02-05 19,136.0
2018-02-05 20,104.0
2018-02-05 21,47.0
2018-02-05 22,31.0
2018-02-05 23,27.0
2018-02-06 0,17.0
2018-02-06 1,14.0
2018-02-06 2,14.0
2018-02-06 3,14.0
2018-02-06 4,16.0
2018-02-06 5,14.0
2018-02-06 6,13.0
2018-02-06 7,37.0
2018-02-06 8,102.0
2018-02-06 9,178.0
2018-02-06 10,208.0
