,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-03-15,30,23,22,21,21,21,33,88,157,331,436,548,437,603,597,595,561,513,498,305,256,188,68,39
2018-03-16,35.0,22.0,17.0,18.0,19.0,17.0,23.0,88.0,205.0,340.0,411.0,659.0,458.0,490.0,412.0,425.0,362.0,323.0,270.0,237.0,223.0,199.0,79.0,33.0
2018-03-17,26.0,21.0,16.0,16.0,15.0,17.0,21.0,26.0,73.0,68.0,103.0,98.0,99.0,108.0,126.0,115.0,126.0,119.0,92.0,89.0,88.0,68.0,58.0,47.0
2018-03-18,32.0,27.0,20.0,15.0,13.0,18.0,18.0,22.0,25.0,38.0,43.0,44.0,54.0,55.0,53.0,66.0,69.0,54.0,55.0,61.0,37.0,64.0,32.0,40.0
2018-03-19,21.0,19.0,14.0,16.0,14.0,15.0,24.0,56.0,137.0,269.0,299.0,384.0,386.0,457.0,474.0,487.0,464.0,441.0,305.0,252.0,195.0,126.0,71.0,41.0
2018-03-20,32,20,20,19,22,18,24,111,199,323,408,492,395,600,511,521,451,402,317,268,278,150,77,39
2018-03-21,27,28,20,21,19,21,20,70,166,304,393,426,421,435,466,530,448,370,369,294,265,210,76,42
2018-03-22,27.0,22.0,23.0,23.0,24.0,25.0,28.0,81.0,199.0,277.0,402.0,443.0,406.0,449.0,461.0,528.0,461.0,467.0,263.0,178.0,108.0,104.0,68.0,48.0
2018-03-23,31.0,24.0,21.0,23.0,20.0,27.0,30.0,68.0,187.0,310.0,353.0,412.0,345.0,387.0,366.0,375.0,335.0,299.0,252.0,209.0,185.0,167.0,63.0,40.0
2018-03-24,25.0,23.0,24.0,21.0,25.0,23.0,30.0,41.0,65.0,79.0,95.0,119.0,98.0,102.0,100.0,110.0,97.0,92.0,77.0,81.0,71.0,67.0,50.0,33.0
2018-03-25,26.0,20.0,20.0,22.0,19.0,19.0,17.0,32.0,72.0,74.0,94.0,95.0,58.0,86.0,92.0,88.0,90.0,87.0,72.0,71.0,61.0,51.0,53.0,60.0
2018-03-26,20.0,14.0,17.0,16.0,17.0,20.0,22.0,66.0,145.0,281.0,345.0,415.0,407.0,426.0,502.0,507.0,504.0,500.0,447.0,310.0,266.0,218.0,81.0,36.0
2018-03-27,27.0,18.0,20.0,17.0,15.0,20.0,23.0,61.0,212.0,372.0,467.0,518.0,483.0,564.0,523.0,543.0,524.0,418.0,362.0,322.0,224.0,125.0,104.0,50.0
2018-03-28,34.0,29.0,28.0,24.0,26.0,24.0,32.0,87.0,283.0,415.0,485.0,514.0,522.0,557.0,545.0,554.0,517.0,420.0,418.0,380.0,333.0,310.0,99.0,44.0
2018-03-29,29.0,23.0,19.0,16.0,19.0,20.0,22.0,95.0,184.0,310.0,416.0,501.0,495.0,917.0,545.0,581.0,476.0,424.0,381.0,266.0,209.0,109.0,85.0,38.0
2018-03-30,30,20,16,15,14,20,27,36,46,75,82,92,95,117,121,149,132,134,85,60,51,62,70,27
2018-03-31,24.0,18.0,17.0,15.0,17.0,17.0,17.0,27.0,45.0,79.0,107.0,124.0,146.0,149.0,147.0,146.0,151.0,146.0,123.0,89.0,89.0,70.0,63.0,31.0
2018-04-01,24,16,17,16,14,12,19,31,38,60,65,61,73,79,87,86,86,71,68,53,52,50,51,32
2018-04-02,25.0,20.0,16.0,16.0,13.0,17.0,24.0,90.0,175.0,283.0,331.0,434.0,396.0,512.0,562.0,538.0,505.0,451.0,414.0,323.0,277.0,182.0,104.0,47.0
2018-04-03,36,32,27,25,25,21,27,99,255,414,495,596,505,591,535,541,517,466,364,343,276,246,116,56
2018-04-04,43,37,33,33,31,33,43,96,222,464,527,565,499,509,455,514,451,411,439,408,345,274,112,44
2018-04-05,34,27,21,35,41,19,23,71,189,266,313,425,432,512,483,584,492,426,340,271,213,141,107,48
2018-04-06,32.0,21.0,29.0,33.0,23.0,22.0,33.0,80.0,256.0,386.0,401.0,561.0,495.0,467.0,487.0,531.0,437.0,423.0,463.0,399.0,192.0,184.0,94.0,48.0
2018-04-07,38,27,25,20,20,21,30,40,74,114,124,140,151,148,156,167,166,160,133,100,71,77,70,34
2018-04-08,30,28,20,19,21,22,23,32,44,50,82,90,91,90,89,103,86,81,64,64,60,57,57,33
2018-04-09,29,23,24,21,25,26,38,92,188,299,351,434,437,449,498,498,436,406,355,263,199,127,123,53
