timestep,building_wifi_count,floor_2_wifi_count,floor_3_wifi_count,floor_4_wifi_count,floor_5_wifi_count,floor_6_wifi_count
2018-06-11T08:00:00Z,0.07960741548527808,0.03137254901960784,0.020202020202020204,0.06896551724137931,0.07262569832402235,0.032
2018-06-11T09:00:00Z,0.1515812431842966,0.06666666666666667,0.07575757575757576,0.11285266457680251,0.1787709497206704,0.072
2018-06-11T10:00:00Z,0.15267175572519084,0.09019607843137255,0.10101010101010101,0.10031347962382445,0.17318435754189945,0.088
2018-06-11T11:00:00Z,0.1875681570338059,0.08235294117647059,0.13636363636363635,0.13166144200626959,0.19553072625698323,0.128
2018-06-11T12:00:00Z,0.2050163576881134,0.07058823529411765,0.12121212121212122,0.14733542319749215,0.22905027932960895,0.14
2018-06-11T13:00:00Z,0.19629225736095965,0.06666666666666667,0.10101010101010101,0.1536050156739812,0.18994413407821228,0.124
2018-06-11T14:00:00Z,0.2268266085059978,0.07058823529411765,0.13636363636363635,0.18181818181818182,0.2122905027932961,0.144
2018-06-11T15:00:00Z,0.19083969465648856,0.0784313725490196,0.13131313131313133,0.14106583072100312,0.16759776536312848,0.14
2018-06-11T16:00:00Z,0.2093784078516903,0.07058823529411765,0.12626262626262627,0.16614420062695925,0.17318435754189945,0.148
2018-06-11T17:00:00Z,0.19956379498364232,0.050980392156862744,0.11616161616161616,0.16300940438871472,0.18435754189944134,0.132
2018-06-11T18:00:00Z,0.1821155943293348,0.047058823529411764,0.12121212121212122,0.1724137931034483,0.13966480446927373,0.08
2018-06-11T19:00:00Z,0.173391494002181,0.09411764705882353,0.12121212121212122,0.15047021943573669,0.13966480446927373,0.056
2018-06-11T20:00:00Z,0.1395856052344602,0.050980392156862744,0.06060606060606061,0.11598746081504702,0.1452513966480447,0.06
2018-06-11T21:00:00Z,0.0861504907306434,0.027450980392156862,0.045454545454545456,0.07210031347962383,0.09497206703910614,0.036
2018-06-11T22:00:00Z,0.07415485278080698,0.03529411764705882,0.030303030303030304,0.06583072100313479,0.055865921787709494,0.028
2018-06-11T23:00:00Z,0.064340239912759,0.023529411764705882,0.030303030303030304,0.05956112852664577,0.0446927374301676,0.028
2018-06-12T00:00:00Z,0.03489640130861505,0.011764705882352941,0.025252525252525252,0.02821316614420063,0.03910614525139665,0.016
2018-06-12T01:00:00Z,0.030534351145038167,0.00392156862745098,0.005050505050505051,0.02821316614420063,0.027932960893854747,0.016
2018-06-12T02:00:00Z,0.03162486368593239,0.00784313725490196,0.005050505050505051,0.02821316614420063,0.0335195530726257,0.012
2018-06-12T03:00:00Z,0.030534351145038167,0.00392156862745098,0.005050505050505051,0.03134796238244514,0.0223463687150838,0.012
2018-06-12T04:00:00Z,0.026172300981461286,0.00392156862745098,0.005050505050505051,0.0219435736677116,0.027932960893854747,0.016
2018-06-12T05:00:00Z,0.026172300981461286,0.00392156862745098,0.005050505050505051,0.0219435736677116,0.027932960893854747,0.016
2018-06-12T06:00:00Z,0.027262813522355506,0.00392156862745098,0.005050505050505051,0.0219435736677116,0.0335195530726257,0.016
2018-06-12T07:00:00Z,0.028353326063249727,0.00392156862745098,0.005050505050505051,0.025078369905956112,0.027932960893854747,0.016
2018-06-12T08:00:00Z,0.05997818974918211,0.023529411764705882,0.015151515151515152,0.047021943573667714,0.05027932960893855,0.04
2018-06-12T09:00:00Z,0.1134133042529989,0.0392156862745098,0.06060606060606061,0.09090909090909091,0.09497206703910614,0.076
2018-06-12T10:00:00Z,0.16030534351145037,0.054901960784313725,0.08585858585858586,0.13479623824451412,0.12290502793296089,0.1
2018-06-12T11:00:00Z,0.19520174482006544,0.050980392156862744,0.12121212121212122,0.1724137931034483,0.13966480446927373,0.124
2018-06-12T12:00:00Z,0.20719738276990185,0.06274509803921569,0.1414141414141414,0.16614420062695925,0.18994413407821228,0.136
2018-06-12T13:00:00Z,0.193020719738277,0.06666666666666667,0.11616161616161616,0.15987460815047022,0.1564245810055866,0.12
2018-06-12T14:00:00Z,0.20174482006543076,0.06274509803921569,0.11616161616161616,0.1724137931034483,0.16201117318435754,0.12
2018-06-12T15:00:00Z,0.19738276990185388,0.07450980392156863,0.15656565656565657,0.15047021943573669,0.18435754189944134,0.132
2018-06-12T16:00:00Z,0.19193020719738277,0.047058823529411764,0.1414141414141414,0.15047021943573669,0.21787709497206703,0.116
2018-06-12T17:00:00Z,0.2050163576881134,0.047058823529411764,0.1111111111111111,0.18495297805642633,0.1787709497206704,0.104
2018-06-12T18:00:00Z,0.19956379498364232,0.07058823529411765,0.10101010101010101,0.18181818181818182,0.15083798882681565,0.088
2018-06-12T19:00:00Z,0.18538713195201745,0.08235294117647059,0.0707070707070707,0.1724137931034483,0.15083798882681565,0.048
2018-06-12T20:00:00Z,0.10687022900763359,0.0392156862745098,0.0707070707070707,0.08463949843260188,0.12290502793296089,0.048
2018-06-12T21:00:00Z,0.10577971646673937,0.043137254901960784,0.050505050505050504,0.09717868338557993,0.0782122905027933,0.04
2018-06-12T22:00:00Z,0.08724100327153762,0.03137254901960784,0.04040404040404041,0.07836990595611286,0.07262569832402235,0.036
2018-06-12T23:00:00Z,0.10032715376226826,0.023529411764705882,0.025252525252525252,0.08150470219435736,0.12290502793296089,0.048
2018-06-13T00:00:00Z,0.03598691384950927,0.01568627450980392,0.025252525252525252,0.02821316614420063,0.0335195530726257,0.02
2018-06-13T01:00:00Z,0.026172300981461286,0.00392156862745098,0.010101010101010102,0.018808777429467086,0.027932960893854747,0.024
2018-06-13T02:00:00Z,0.023991275899672846,0.00392156862745098,0.010101010101010102,0.01567398119122257,0.03910614525139665,0.016
2018-06-13T03:00:00Z,0.022900763358778626,0.00392156862745098,0.005050505050505051,0.018808777429467086,0.027932960893854747,0.012
2018-06-13T04:00:00Z,0.023991275899672846,0.00392156862745098,0.010101010101010102,0.01567398119122257,0.0335195530726257,0.02
2018-06-13T05:00:00Z,0.021810250817884406,0.00392156862745098,0.005050505050505051,0.01567398119122257,0.0335195530726257,0.012
2018-06-13T06:00:00Z,0.019629225736095966,0.00392156862745098,0.005050505050505051,0.01567398119122257,0.027932960893854747,0.008
2018-06-13T07:00:00Z,0.029443838604143947,0.00784313725490196,0.010101010101010102,0.02821316614420063,0.0223463687150838,0.012
2018-06-13T08:00:00Z,0.06324972737186478,0.0196078431372549,0.025252525252525252,0.050156739811912224,0.061452513966480445,0.04
2018-06-13T09:00:00Z,0.1134133042529989,0.0392156862745098,0.09090909090909091,0.0877742946708464,0.09497206703910614,0.084
2018-06-13T10:00:00Z,0.13849509269356597,0.054901960784313725,0.12121212121212122,0.10344827586206896,0.1340782122905028,0.092
2018-06-13T11:00:00Z,0.1668484187568157,0.058823529411764705,0.13131313131313133,0.11912225705329153,0.1787709497206704,0.12
2018-06-13T12:00:00Z,0.18102508178844057,0.10196078431372549,0.14646464646464646,0.11285266457680251,0.18994413407821228,0.136
2018-06-13T13:00:00Z,0.15921483097055616,0.047058823529411764,0.10101010101010101,0.11912225705329153,0.17318435754189945,0.108
2018-06-13T14:00:00Z,0.1875681570338059,0.058823529411764705,0.12626262626262627,0.15047021943573669,0.17318435754189945,0.12
2018-06-13T15:00:00Z,0.17993456924754633,0.050980392156862744,0.13131313131313133,0.15673981191222572,0.1564245810055866,0.096
2018-06-13T16:00:00Z,0.21264994547437296,0.058823529411764705,0.12121212121212122,0.19435736677115986,0.1564245810055866,0.112
2018-06-13T17:00:00Z,0.193020719738277,0.03137254901960784,0.09595959595959595,0.1755485893416928,0.1787709497206704,0.1
2018-06-13T18:00:00Z,0.2039258451472192,0.058823529411764705,0.09595959595959595,0.1755485893416928,0.21787709497206703,0.084
2018-06-13T19:00:00Z,0.16357688113413305,0.0784313725490196,0.08585858585858586,0.12539184952978055,0.18435754189944134,0.068
2018-06-13T20:00:00Z,0.10905125408942203,0.03529411764705882,0.06060606060606061,0.09717868338557993,0.0893854748603352,0.052
2018-06-13T21:00:00Z,0.0861504907306434,0.027450980392156862,0.045454545454545456,0.06896551724137931,0.0893854748603352,0.048
2018-06-13T22:00:00Z,0.06761177753544166,0.01568627450980392,0.04040404040404041,0.05956112852664577,0.07262569832402235,0.028
2018-06-13T23:00:00Z,0.05016357688113413,0.0196078431372549,0.03535353535353535,0.04075235109717868,0.05027932960893855,0.024
2018-06-14T00:00:00Z,0.03271537622682661,0.011764705882352941,0.010101010101010102,0.0219435736677116,0.0446927374301676,0.02
2018-06-14T01:00:00Z,0.026172300981461286,0.00392156862745098,0.010101010101010102,0.012539184952978056,0.061452513966480445,0.016
2018-06-14T02:00:00Z,0.020719738276990186,0.00392156862745098,0.005050505050505051,0.012539184952978056,0.0335195530726257,0.016
2018-06-14T03:00:00Z,0.019629225736095966,0.00392156862745098,0.005050505050505051,0.012539184952978056,0.027932960893854747,0.016
2018-06-14T04:00:00Z,0.018538713195201745,0.00392156862745098,0.005050505050505051,0.012539184952978056,0.027932960893854747,0.012
2018-06-14T05:00:00Z,0.022900763358778626,0.00392156862745098,0.005050505050505051,0.01567398119122257,0.0335195530726257,0.016
2018-06-14T06:00:00Z,0.020719738276990186,0.00392156862745098,0.010101010101010102,0.012539184952978056,0.03910614525139665,0.012
