date_time,value
2018-01-22 22,14.0
2018-01-22 23,7.0
2018-01-23 0,3.0
2018-01-23 1,3.0
2018-01-23 2,3.0
2018-01-23 3,3.0
2018-01-23 4,3.0
2018-01-23 5,2.0
2018-01-23 6,6.0
2018-01-23 7,13.0
2018-01-23 8,31.0
2018-01-23 9,77.0
2018-01-23 10,58.0
2018-01-23 11,79.0
2018-01-23 12,57.0
2018-01-23 13,99.0
2018-01-23 14,68.0
2018-01-23 15,81.0
2018-01-23 16,66.0
2018-01-23 17,111.0
2018-01-23 18,59.0
2018-01-23 19,51.0
2018-01-23 20,39.0
2018-01-23 21,30.0
2018-01-23 22,10.0
2018-01-23 23,5.0
2018-01-24 0,2.0
2018-01-24 1,5.0
2018-01-24 2,2.0
2018-01-24 3,2.0
2018-01-24 4,1.0
2018-01-24 5,1.0
2018-01-24 6,2.0
2018-01-24 7,10.0
2018-01-24 8,49.0
2018-01-24 9,86.0
2018-01-24 10,54.0
2018-01-24 11,90.0
2018-01-24 12,65.0
2018-01-24 13,74.0
2018-01-24 14,67.0
2018-01-24 15,95.0
2018-01-24 16,67.0
2018-01-24 17,99.0
2018-01-24 18,68.0
2018-01-24 19,46.0
2018-01-24 20,52.0
2018-01-24 21,39.0
2018-01-24 22,22.0
2018-01-24 23,10.0
2018-01-25 0,7.0
2018-01-25 1,5.0
2018-01-25 2,5.0
2018-01-25 3,4.0
2018-01-25 4,3.0
2018-01-25 5,3.0
2018-01-25 6,7.0
2018-01-25 7,16.0
2018-01-25 8,34.0
2018-01-25 9,60.0
2018-01-25 10,49.0
2018-01-25 11,99.0
2018-01-25 12,54.0
2018-01-25 13,77.0
2018-01-25 14,67.0
2018-01-25 15,97.0
2018-01-25 16,80.0
2018-01-25 17,66.0
2018-01-25 18,50.0
2018-01-25 19,52.0
2018-01-25 20,41.0
2018-01-25 21,35.0
2018-01-25 22,26.0
2018-01-25 23,12.0
2018-01-26 0,3.0
2018-01-26 1,2.0
2018-01-26 2,4.0
2018-01-26 3,1.0
2018-01-26 4,2.0
2018-01-26 5,2.0
2018-01-26 6,3.0
2018-01-26 7,10.0
2018-01-26 8,34.0
2018-01-26 9,54.0
2018-01-26 10,56.0
2018-01-26 11,78.0
2018-01-26 12,55.0
2018-01-26 13,94.0
2018-01-26 14,69.0
2018-01-26 15,66.0
2018-01-26 16,48.0
2018-01-26 17,65.0
2018-01-26 18,45.0
2018-01-26 19,17.0
2018-01-26 20,15.0
2018-01-26 21,18.0
2018-01-26 22,27.0
2018-01-26 23,6.0
2018-01-27 0,9.0
2018-01-27 1,3.0
2018-01-27 2,3.0
2018-01-27 3,3.0
2018-01-27 4,2.0
2018-01-27 5,1.0
2018-01-27 6,2.0
2018-01-27 7,8.0
2018-01-27 8,20.0
2018-01-27 9,26.0
2018-01-27 10,22.0
2018-01-27 11,29.0
2018-01-27 12,20.0
2018-01-27 13,15.0
2018-01-27 14,15.0
2018-01-27 15,11.0
2018-01-27 16,12.0
2018-01-27 17,13.0
2018-01-27 18,17.0
2018-01-27 19,10.0
2018-01-27 20,7.0
2018-01-27 21,4.0
2018-01-27 22,8.0
2018-01-27 23,4.0
2018-01-28 0,1.0
2018-01-28 1,3.0
2018-01-28 2,2.0
2018-01-28 3,2.0
2018-01-28 4,1.0
2018-01-28 5,1.0
2018-01-28 6,1.0
2018-01-28 7,1.0
2018-01-28 8,4.0
2018-01-28 9,6.0
2018-01-28 10,7.0
2018-01-28 11,10.0
2018-01-28 12,14.0
2018-01-28 13,8.0
2018-01-28 14,8.0
2018-01-28 15,7.0
2018-01-28 16,8.0
2018-01-28 17,8.0
2018-01-28 18,11.0
2018-01-28 19,9.0
2018-01-28 20,10.0
2018-01-28 21,6.0
2018-01-28 22,6.0
2018-01-28 23,5.0
2018-01-29 0,2.0
2018-01-29 1,3.0
2018-01-29 2,1.0
2018-01-29 3,1.0
2018-01-29 4,2.0
2018-01-29 5,1.0
2018-01-29 6,2.0
2018-01-29 7,12.0
2018-01-29 8,34.0
2018-01-29 9,49.0
2018-01-29 10,47.0
2018-01-29 11,96.0
2018-01-29 12,86.0
2018-01-29 13,97.0
2018-01-29 14,94.0
2018-01-29 15,88.0
2018-01-29 16,79.0
2018-01-29 17,82.0
2018-01-29 18,58.0
2018-01-29 19,43.0
2018-01-29 20,25.0
2018-01-29 21,28.0
2018-01-29 22,18.0
2018-01-29 23,8.0
2018-01-30 0,2.0
2018-01-30 1,2.0
2018-01-30 2,1.0
2018-01-30 3,1.0
2018-01-30 4,1.0
2018-01-30 5,1.0
2018-01-30 6,4.0
2018-01-30 7,12.0
2018-01-30 8,20.0
2018-01-30 9,75.0
2018-01-30 10,98.0
2018-01-30 11,98.0
2018-01-30 12,93.0
2018-01-30 13,92.0
2018-01-30 14,110.0
2018-01-30 15,120.0
2018-01-30 16,108.0
2018-01-30 17,121.0
2018-01-30 18,56.0
2018-01-30 19,52.0
2018-01-30 20,23.0
2018-01-30 21,18.0
2018-01-30 22,8.0
2018-01-30 23,6.0
2018-01-31 0,3.0
2018-01-31 1,2.0
2018-01-31 2,2.0
2018-01-31 3,3.0
2018-01-31 4,2.0
2018-01-31 5,2.0
2018-01-31 6,8.0
2018-01-31 7,11.0
2018-01-31 8,33.0
2018-01-31 9,62.0
2018-01-31 10,78.0
2018-01-31 11,119.0
2018-01-31 12,92.0
2018-01-31 13,91.0
2018-01-31 14,98.0
2018-01-31 15,87.0
2018-01-31 16,76.0
2018-01-31 17,83.0
2018-01-31 18,61.0
2018-01-31 19,37.0
2018-01-31 20,26.0
2018-01-31 21,30.0
2018-01-31 22,15.0
2018-01-31 23,4.0
2018-02-01 0,4.0
2018-02-01 1,2.0
2018-02-01 2,2.0
2018-02-01 3,2.0
2018-02-01 4,2.0
2018-02-01 5,2.0
2018-02-01 6,3.0
2018-02-01 7,14.0
2018-02-01 8,40.0
2018-02-01 9,64.0
2018-02-01 10,47.0
2018-02-01 11,87.0
2018-02-01 12,51.0
2018-02-01 13,85.0
2018-02-01 14,119.0
2018-02-01 15,119.0
2018-02-01 16,98.0
2018-02-01 17,100.0
2018-02-01 18,83.0
2018-02-01 19,60.0
2018-02-01 20,43.0
2018-02-01 21,35.0
2018-02-01 22,22.0
2018-02-01 23,8.0
2018-02-02 0,5.0
2018-02-02 1,3.0
2018-02-02 2,5.0
2018-02-02 3,3.0
2018-02-02 4,3.0
2018-02-02 5,3.0
2018-02-02 6,4.0
2018-02-02 7,10.0
2018-02-02 8,33.0
2018-02-02 9,53.0
2018-02-02 10,63.0
2018-02-02 11,88.0
2018-02-02 12,60.0
2018-02-02 13,76.0
2018-02-02 14,60.0
2018-02-02 15,80.0
2018-02-02 16,44.0
2018-02-02 17,62.0
2018-02-02 18,74.0
2018-02-02 19,40.0
2018-02-02 20,16.0
2018-02-02 21,29.0
2018-02-02 22,30.0
2018-02-02 23,15.0
2018-02-03 0,2.0
2018-02-03 1,9.0
2018-02-03 2,2.0
2018-02-03 3,1.0
2018-02-03 4,1.0
2018-02-03 5,1.0
2018-02-03 6,2.0
2018-02-03 7,4.0
2018-02-03 8,20.0
2018-02-03 9,29.0
2018-02-03 10,25.0
2018-02-03 11,24.0
2018-02-03 12,22.0
2018-02-03 13,15.0
2018-02-03 14,11.0
2018-02-03 15,11.0
2018-02-03 16,13.0
2018-02-03 17,20.0
2018-02-03 18,22.0
2018-02-03 19,14.0
2018-02-03 20,11.0
2018-02-03 21,8.0
2018-02-03 22,7.0
2018-02-03 23,3.0
2018-02-04 0,2.0
2018-02-04 1,3.0
2018-02-04 2,1.0
2018-02-04 3,1.0
2018-02-04 4,2.0
2018-02-04 5,1.0
2018-02-04 6,2.0
2018-02-04 7,3.0
2018-02-04 8,3.0
2018-02-04 9,5.0
2018-02-04 10,11.0
2018-02-04 11,9.0
2018-02-04 12,10.0
2018-02-04 13,9.0
2018-02-04 14,10.0
2018-02-04 15,12.0
2018-02-04 16,13.0
2018-02-04 17,13.0
2018-02-04 18,11.0
2018-02-04 19,10.0
2018-02-04 20,11.0
2018-02-04 21,7.0
2018-02-04 22,9.0
2018-02-04 23,5.0
2018-02-05 0,1.0
2018-02-05 1,2.0
2018-02-05 2,1.0
2018-02-05 3,1.0
2018-02-05 4,1.0
2018-02-05 5,2.0
2018-02-05 6,3.0
2018-02-05 7,23.0
2018-02-05 8,31.0
2018-02-05 9,49.0
2018-02-05 10,58.0
2018-02-05 11,80.0
2018-02-05 12,79.0
2018-02-05 13,124.0
2018-02-05 14,120.0
2018-02-05 15,120.0
2018-02-05 16,68.0
2018-02-05 17,91.0
2018-02-05 18,58.0
2018-02-05 19,50.0
2018-02-05 20,35.0
2018-02-05 21,17.0
2018-02-05 22,12.0
2018-02-05 23,8.0
2018-02-06 0,5.0
2018-02-06 1,3.0
2018-02-06 2,4.0
2018-02-06 3,3.0
2018-02-06 4,2.0
2018-02-06 5,4.0
2018-02-06 6,3.0
2018-02-06 7,15.0
2018-02-06 8,40.0
2018-02-06 9,92.0
2018-02-06 10,100.0
2018-02-06 11,109.0
2018-02-06 12,108.0
2018-02-06 13,106.0
2018-02-06 14,104.0
2018-02-06 15,118.0
2018-02-06 16,119.0
2018-02-06 17,84.0
2018-02-06 18,62.0
2018-02-06 19,55.0
2018-02-06 20,38.0
2018-02-06 21,25.0
2018-02-06 22,25.0
2018-02-06 23,10.0
2018-02-07 0,9.0
2018-02-07 1,4.0
2018-02-07 2,4.0
2018-02-07 3,1.0
2018-02-07 4,3.0
2018-02-07 5,2.0
2018-02-07 6,4.0
2018-02-07 7,15.0
2018-02-07 8,41.0
2018-02-07 9,54.0
2018-02-07 10,34.0
2018-02-07 11,74.0
2018-02-07 12,74.0
2018-02-07 13,109.0
2018-02-07 14,110.0
2018-02-07 15,117.0
2018-02-07 16,92.0
2018-02-07 17,89.0
2018-02-07 18,62.0
2018-02-07 19,37.0
2018-02-07 20,26.0
2018-02-07 21,25.0
2018-02-07 22,12.0
2018-02-07 23,8.0
2018-02-08 0,4.0
2018-02-08 1,3.0
2018-02-08 2,3.0
2018-02-08 3,4.0
2018-02-08 4,2.0
2018-02-08 5,1.0
2018-02-08 6,3.0
2018-02-08 7,12.0
2018-02-08 8,39.0
2018-02-08 9,78.0
2018-02-08 10,75.0
2018-02-08 11,115.0
2018-02-08 12,88.0
2018-02-08 13,89.0
2018-02-08 14,111.0
2018-02-08 15,138.0
2018-02-08 16,90.0
2018-02-08 17,102.0
2018-02-08 18,56.0
2018-02-08 19,42.0
2018-02-08 20,25.0
2018-02-08 21,21.0
2018-02-08 22,15.0
2018-02-08 23,5.0
2018-02-09 0,3.0
2018-02-09 1,3.0
2018-02-09 2,2.0
2018-02-09 3,1.0
2018-02-09 4,1.0
2018-02-09 5,1.0
2018-02-09 6,3.0
2018-02-09 7,16.0
2018-02-09 8,50.0
2018-02-09 9,63.0
2018-02-09 10,90.0
2018-02-09 11,98.0
2018-02-09 12,86.0
2018-02-09 13,138.0
2018-02-09 14,63.0
2018-02-09 15,69.0
2018-02-09 16,61.0
2018-02-09 17,82.0
2018-02-09 18,53.0
2018-02-09 19,45.0
2018-02-09 20,29.0
2018-02-09 21,14.0
2018-02-09 22,12.0
2018-02-09 23,7.0
2018-02-10 0,4.0
2018-02-10 1,3.0
2018-02-10 2,2.0
2018-02-10 3,2.0
2018-02-10 4,2.0
2018-02-10 5,2.0
2018-02-10 6,2.0
2018-02-10 7,3.0
2018-02-10 8,18.0
2018-02-10 9,26.0
2018-02-10 10,29.0
2018-02-10 11,32.0
2018-02-10 12,28.0
2018-02-10 13,13.0
2018-02-10 14,15.0
2018-02-10 15,14.0
2018-02-10 16,16.0
2018-02-10 17,21.0
2018-02-10 18,19.0
2018-02-10 19,7.0
2018-02-10 20,11.0
2018-02-10 21,15.0
2018-02-10 22,8.0
2018-02-10 23,5.0
2018-02-11 0,1.0
2018-02-11 1,3.0
2018-02-11 2,1.0
2018-02-11 3,2.0
2018-02-11 4,1.0
2018-02-11 5,1.0
2018-02-11 6,2.0
2018-02-11 7,2.0
2018-02-11 8,2.0
2018-02-11 9,6.0
2018-02-11 10,6.0
2018-02-11 11,13.0
2018-02-11 12,9.0
2018-02-11 13,11.0
2018-02-11 14,13.0
2018-02-11 15,7.0
2018-02-11 16,11.0
2018-02-11 17,12.0
2018-02-11 18,11.0
2018-02-11 19,9.0
2018-02-11 20,12.0
2018-02-11 21,14.0
2018-02-11 22,5.0
2018-02-11 23,5.0
2018-02-12 0,3.0
2018-02-12 1,2.0
2018-02-12 2,2.0
2018-02-12 3,3.0
2018-02-12 4,2.0
2018-02-12 5,1.0
2018-02-12 6,4.0
2018-02-12 7,12.0
2018-02-12 8,25.0
2018-02-12 9,36.0
2018-02-12 10,31.0
2018-02-12 11,78.0
2018-02-12 12,89.0
2018-02-12 13,94.0
2018-02-12 14,106.0
2018-02-12 15,111.0
2018-02-12 16,87.0
2018-02-12 17,92.0
2018-02-12 18,60.0
2018-02-12 19,67.0
2018-02-12 20,32.0
2018-02-12 21,32.0
2018-02-12 22,23.0
2018-02-12 23,7.0
2018-02-13 0,5.0
2018-02-13 1,4.0
2018-02-13 2,3.0
2018-02-13 3,4.0
2018-02-13 4,2.0
2018-02-13 5,2.0
2018-02-13 6,5.0
2018-02-13 7,18.0
2018-02-13 8,33.0
2018-02-13 9,81.0
2018-02-13 10,96.0
2018-02-13 11,113.0
2018-02-13 12,97.0
2018-02-13 13,95.0
2018-02-13 14,88.0
2018-02-13 15,98.0
2018-02-13 16,69.0
2018-02-13 17,83.0
2018-02-13 18,49.0
2018-02-13 19,54.0
2018-02-13 20,24.0
2018-02-13 21,21.0
2018-02-13 22,10.0
2018-02-13 23,5.0
2018-02-14 0,4.0
2018-02-14 1,2.0
2018-02-14 2,2.0
2018-02-14 3,2.0
2018-02-14 4,1.0
2018-02-14 5,2.0
2018-02-14 6,3.0
2018-02-14 7,16.0
2018-02-14 8,44.0
2018-02-14 9,68.0
2018-02-14 10,69.0
2018-02-14 11,107.0
2018-02-14 12,106.0
2018-02-14 13,131.0
2018-02-14 14,104.0
2018-02-14 15,110.0
2018-02-14 16,90.0
2018-02-14 17,82.0
2018-02-14 18,47.0
2018-02-14 19,31.0
2018-02-14 20,25.0
2018-02-14 21,26.0
2018-02-14 22,11.0
2018-02-14 23,6.0
2018-02-15 0,3.0
2018-02-15 1,2.0
2018-02-15 2,1.0
2018-02-15 3,2.0
2018-02-15 4,1.0
2018-02-15 5,1.0
2018-02-15 6,5.0
2018-02-15 7,15.0
2018-02-15 8,28.0
2018-02-15 9,53.0
2018-02-15 10,41.0
2018-02-15 11,79.0
