date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
22/4/18,2,1,1,1,1,1,2,4,7,7,6,5,5,5,6,4,5,6,4,8,5,4,6,3
23/4/18,2,2,2,2,1,1,3,11,21,25,27,32,32,29,37,32,32,35,20,17,17,9,10,6
24/4/18,5,5,3,3,3,3,5,9,27,23,28,31,27,31,38,37,31,31,22,21,23,18,14,5
25/4/18,7,3,2,2,2,2,3,8,22,21,25,23,21,29,33,31,33,28,21,14,12,7,7,6
26/4/18,5,2,3,1,2,2,2,9,17,24,29,31,31,36,36,34,30,30,26,20,19,13,16,7
27/4/18,7,4,3,2,3,3,3,6,18,19,29,33,35,26,49,45,40,38,19,20,13,14,10,7
28/4/18,4,4,5,4,2,2,3,6,9,8,11,13,13,17,16,21,18,15,13,12,14,11,10,7
29/4/18,4,4,3,4,3,3,2,4,4,14,12,14,11,14,11,12,13,13,12,12,9,8,9,5
30/4/18,4,3,4,3,2,3,5,5,16,26,34,36,41,39,40,45,39,34,31,27,12,9,8,5
1/5/18,4,2,2,1,1,1,2,3,5,13,11,14,12,10,11,9,9,7,8,7,14,5,5,6
2/5/18,2,2,2,1,2,1,4,6,20,24,36,42,49,36,35,34,36,31,41,23,20,18,12,8
3/5/18,3,3,3,3,3,3,4,10,25,31,32,40,37,35,30,122,40,31,22,14,12,13,10,9
4/5/18,4,3,3,3,3,4,5,7,20,24,32,34,34,27,24,28,27,26,15,10,9,5,13,4
5/5/18,3,2,2,1,1,1,2,3,6,6,10,10,17,15,14,11,12,11,8,8,6,6,6,3
6/5/18,9,9,4,3,3,5,3,4,4,5,7,10,8,11,9,11,11,10,11,11,8,6,5,4
7/5/18,3,2,2,1,1,2,4,7,20,21,24,27,27,29,38,41,38,77,81,66,11,13,14,7
8/5/18,4,4,2,2,2,2,4,11,20,27,35,30,26,26,32,39,51,48,23,18,15,15,13,6
9/5/18,5,3,2,2,2,3,4,13,19,25,32,30,30,33,33,40,34,30,18,14,9,9,10,7
10/5/18,4,2,3,3,3,2,5,9,14,30,29,37,34,31,37,43,46,41,25,35,16,10,10,10
11/5/18,7,2,3,4,3,4,6,7,21,22,29,38,30,32,29,23,23,25,14,10,9,11,4,6
12/5/18,1,2,1,2,1,1,2,2,7,6,11,15,14,14,14,11,11,14,7,9,5,7,6,2
13/5/18,1,1,1,1,2,1,1,4,2,6,4,7,5,4,5,5,6,4,7,2,2,2,2,2
14/5/18,1,1,1,1,1,1,1,5,20,24,32,35,41,31,32,35,32,30,22,17,9,7,5,4
15/5/18,4,4,4,3,3,3,4,7,21,25,24,27,29,27,22,26,29,28,28,19,11,12,6,5
16/5/18,3,2,2,2,3,3,3,9,13,22,25,28,27,26,27,28,29,31,19,10,13,6,7,4
17/5/18,1,1,2,2,2,2,4,8,18,23,25,29,28,25,22,27,26,32,22,13,10,9,9,7
18/5/18,3,2,2,1,1,2,3,9,14,21,26,24,18,23,32,65,72,25,17,11,9,7,6,2
19/5/18,2,1,1,1,1,1,1,3,4,6,7,8,10,11,11,11,13,11,7,7,6,3,3,1
20/5/18,2,1,1,1,1,1,2,2,3,3,4,4,5,7,6,3,5,6,4,5,3,3,3,3
21/5/18,1,1,1,1,1,1,1,6,14,23,33,35,29,25,30,26,27,22,12,13,10,10,7,6
22/5/18,1,1,1,1,1,1,1,7,11,17,21,28,25,29,25,28,23,26,17,23,14,9,5,3
